"IV1_race","IV2_diagnosis","condition","socialdistance_1","socialdistance_2","socialdistance_3","blame_1","blame_2","blame_3","danger_1","danger_2","danger_3","concern_1","concern_2","concern_3","help_1","help_2","gender","age","ethnicity","community","political_affiliation","contact_homeless","social_desirability"
1,2,2,3,3,5,5,4,3,5,5,5,3,3,5,3,3,1,55,6,3,2,4,7
1,2,2,4,4,6,2,2,6,3,4,4,7,7,6,3,4,2,53,2,2,1,2,7
1,2,2,5,3,4,4,3,4,5,7,4,5,4,6,2,3,2,50,3,2,2,1,1
1,2,2,7,6,7,2,2,6,1,2,1,6,6,7,6,4,2,56,1,2,1,3,12
1,2,2,4,2,4,2,2,5,1,1,2,7,7,7,6,4,2,61,1,2,2,4,10
1,2,2,6,3,7,2,2,6,3,2,2,5,6,7,7,6,2,59,2,2,2,3,7
1,3,3,4,4,4,5,4,6,5,3,5,3,3,5,3,6,2,36,1,2,2,1,7
1,3,3,3,4,2,2,1,7,7,2,6,7,2,6,3,5,2,50,1,2,2,2,7
1,3,3,6,5,6,7,4,2,1,3,4,5,4,5,5,6,1,58,1,2,2,4,9
1,3,3,2,7,2,1,1,7,4,3,3,3,4,7,2,2,2,20,1,1,2,5,4
1,3,3,5,7,4,1,1,7,3,2,3,7,7,6,3,3,1,40,2,1,1,3,1
1,3,3,6,3,6,1,1,7,2,2,1,6,6,5,5,2,1,21,2,2,1,1,10
1,3,3,5,3,5,1,1,7,3,3,3,3,7,7,7,5,2,22,1,3,2,3,7
1,3,3,4,4,4,2,3,4,5,3,4,4,4,5,6,5,2,50,5,3,2,7,10
1,3,3,4,4,3,1,1,7,4,4,4,4,7,7,5,5,2,63,3,2,3,1,6
1,3,3,5,7,5,2,2,5,3,1,4,4,4,5,4,6,2,21,3,3,2,4,6
1,3,3,4,6,6,1,3,7,4,3,1,7,5,4,2,1,2,20,2,3,1,2,10
1,3,3,5,5,5,4,3,4,4,7,5,7,5,7,5,6,2,63,2,2,2,3,8
1,3,3,3,5,4,1,1,7,6,4,3,7,6,7,1,1,1,34,1,1,3,2,7
1,3,3,6,6,7,2,1,7,3,2,2,5,5,6,7,6,2,33,2,3,1,1,8
1,3,3,7,7,7,1,1,7,3,3,4,5,7,7,7,5,2,21,3,2,1,3,7
1,3,3,7,7,7,1,1,7,2,1,1,7,7,7,6,6,2,19,2,2,1,1,4
1,3,3,5,4,6,2,1,7,2,4,2,5,6,7,5,3,1,20,2,1,1,3,4
1,3,3,5,5,7,1,1,7,2,5,2,7,7,7,3,3,1,21,2,1,1,5,5
